fips_value,fips,cover
19097,19097,0.00
19099,19099,0.00
19101,19101,0.00
19103,19103,0.00
19105,19105,0.00
19107,19107,0.00
19109,19109,0.00
19111,19111,0.00
19113,19113,0.00
19115,19115,0.00
19117,19117,0.00
19119,19119,0.00
19121,19121,0.60
19123,19123,0.00
19125,19125,0.00
19127,19127,0.00
19129,19129,1.00
19131,19131,0.00
19133,19133,1.00
19135,19135,0.00
19137,19137,1.00
19139,19139,0.00
19141,19141,0.13
19143,19143,0.00
19145,19145,1.00
19147,19147,0.00
19149,19149,0.68
19151,19151,0.00
19153,19153,0.00
19155,19155,1.00
19157,19157,0.00
19159,19159,1.00
19161,19161,0.82
19163,19163,0.00
19165,19165,1.00
19167,19167,0.16
19169,19169,0.00
19171,19171,0.00
19173,19173,1.00
19175,19175,1.00
19177,19177,0.00
19179,19179,0.00
19181,19181,0.04
19183,19183,0.00
19185,19185,0.00
19187,19187,0.00
19189,19189,0.00
19191,19191,0.00
19193,19193,1.00
19195,19195,0.00
19197,19197,0.00
20001,20001,1.00
20003,20003,1.00
20005,20005,1.00
20007,20007,0.92
20009,20009,0.00
20011,20011,1.00
20013,20013,1.00
20015,20015,0.36
20017,20017,0.00
20019,20019,0.91
20021,20021,1.00
20023,20023,0.00
20025,20025,0.00
20027,20027,1.00
20029,20029,1.00
20031,20031,0.50
20033,20033,0.67
20035,20035,1.00
20037,20037,1.00
20039,20039,0.00
20041,20041,0.83
20043,20043,1.00
20045,20045,0.77
20047,20047,0.00
20049,20049,0.56
20051,20051,0.00
20053,20053,0.10
20055,20055,0.00
20057,20057,0.00
20059,20059,0.77
20061,20061,1.00
20063,20063,0.00
20065,20065,0.00
20067,20067,0.00
20069,20069,0.00
20071,20071,0.00
20073,20073,0.09
20075,20075,0.00
20077,20077,1.00
20079,20079,0.00
20081,20081,0.00
20083,20083,0.00
20085,20085,1.00
20087,20087,1.00
20089,20089,1.00
20091,20091,0.93
20093,20093,0.00
20095,20095,0.91
20097,20097,0.00
20099,20099,1.00
20101,20101,0.00
20103,20103,0.92
20105,20105,0.67
20107,20107,1.00
20109,20109,0.00
20111,20111,0.18
20113,20113,0.00
20115,20115,0.05
20117,20117,1.00
20119,20119,0.00
20121,20121,1.00
20123,20123,1.00
20125,20125,1.00
20127,20127,0.75
20129,20129,0.00
20131,20131,1.00
20133,20133,1.00
20135,20135,0.00
20137,20137,0.00
20139,20139,0.56
20141,20141,0.36
20143,20143,1.00
20145,20145,0.00
20147,20147,0.33
20149,20149,1.00
20151,20151,0.27
20153,20153,0.00
20155,20155,0.13
20157,20157,1.00
20159,20159,0.00
20161,20161,1.00
20163,20163,0.00
20165,20165,0.00
20167,20167,0.00
20169,20169,0.45
20171,20171,0.00
20173,20173,0.69
20175,20175,0.00
20177,20177,1.00
20179,20179,0.00
20181,20181,0.00
20183,20183,1.00
20185,20185,0.00
20187,20187,0.00
20189,20189,0.00
20191,20191,1.00
20193,20193,0.00
20195,20195,0.00
20197,20197,1.00
20199,20199,0.00
20201,20201,1.00
20203,20203,0.00
20205,20205,0.90
20207,20207,0.80
20209,20209,0.63
21001,21001,1.00
21003,21003,1.00
21005,21005,1.00
21007,21007,1.00
21009,21009,1.00
21011,21011,1.00
21013,21013,1.00
21015,21015,1.00
21017,21017,1.00
21019,21019,1.00
21021,21021,1.00
21023,21023,1.00
21025,21025,1.00
21027,21027,1.00
21029,21029,1.00
21031,21031,1.00
21033,21033,1.00
21035,21035,1.00
21037,21037,1.00
21039,21039,1.00
21041,21041,1.00
21043,21043,1.00
21045,21045,1.00
21047,21047,1.00
21049,21049,1.00
21051,21051,1.00
21053,21053,1.00
21055,21055,1.00
21057,21057,1.00
21059,21059,1.00
21061,21061,1.00
21063,21063,1.00
21065,21065,1.00
21067,21067,1.00
21069,21069,1.00
21071,21071,1.00
21073,21073,1.00
21075,21075,1.00
21077,21077,1.00
21079,21079,1.00
21081,21081,1.00
21083,21083,1.00
21085,21085,1.00
21087,21087,1.00
21089,21089,1.00
21091,21091,1.00
21093,21093,1.00
21095,21095,1.00
21097,21097,1.00
21099,21099,1.00
21101,21101,1.00
21103,21103,1.00
21105,21105,1.00
21107,21107,1.00
21109,21109,1.00
21111,21111,1.00
21113,21113,1.00
21115,21115,1.00
21117,21117,1.00
21119,21119,1.00
21121,21121,1.00
21123,21123,1.00
21125,21125,1.00
21127,21127,1.00
21129,21129,1.00
21131,21131,1.00
21133,21133,1.00
21135,21135,1.00
21137,21137,1.00
21139,21139,1.00
21141,21141,1.00
21143,21143,1.00
21145,21145,1.00
21147,21147,1.00
21149,21149,1.00
21151,21151,1.00
21153,21153,1.00
21155,21155,1.00
21157,21157,1.00
21159,21159,1.00
21161,21161,1.00
21163,21163,1.00
21165,21165,1.00
21167,21167,1.00
21169,21169,1.00
21171,21171,1.00
21173,21173,1.00
21175,21175,1.00
21177,21177,1.00
21179,21179,1.00
21181,21181,1.00
21183,21183,1.00
21185,21185,1.00
21187,21187,1.00
21189,21189,1.00
21191,21191,1.00
21193,21193,1.00
21195,21195,1.00
21197,21197,1.00
21199,21199,1.00
21201,21201,1.00
21203,21203,1.00
21205,21205,1.00
21207,21207,1.00
